apk,intention,transferred_countries,declared_safeguards,explicit_consent,countries,safeguard,copy,compliance
com.cervomedia.spf,True,United States,dp_clause,False,False,True,False,False
com.huuuge.jomhd,True,United States,dp_clause,False,True,True,True,True
com.hsv.freeadblockerbrowser,True,United States,dp_clause,False,True,True,False,False
call.free.international.phone.call,True,United States,dp_clause,False,True,True,False,False
com.instabridge.android,True,United States,dp_clause,False,True,True,False,False
com.viber.voip,True,United States,binding_corporate_rules,False,True,True,True,True
com.luckywin.tigerslots,True,United States,dp_clause,False,True,True,True,True
com.vegasslotspocket.goldenwolf,True,United States,dp_clause,False,True,True,True,True
com.sagafun.multivideopoker,True,United States,dp_clause,False,True,True,False,False
com.linkdesks.slotking,True,United States,dp_clause,False,False,True,True,False
com.ADDAentertainment.SlotsWolf,True,United States,dp_clause,True,True,True,False,True
com.gamehouse.slingosolitairegp,True,United States,dp_clause,False,True,True,True,True
com.platogo.pmp,True,United States,dp_clause,False,False,True,False,False
com.casino.slotfairytale,True,United States,dp_clause,False,True,True,True,True
com.luckios.vegasluckyslots,True,United States,dp_clause,False,True,True,True,True
air.com.playtika.cvs,True,United States,dp_clause,False,True,True,True,True
com.newvegas.slotfortune,True,United States,dp_clause,False,True,True,True,True
com.wildslots.gp88Slots,True,United States,dp_clause,True,True,True,False,True
com.wildslots.VegasWorldSlots,True,United States,dp_clause,True,True,True,False,True
air.com.gamesys.mobile.slots.jpj,True,United States,dp_clause,False,True,True,True,True
com.pubggrandmafia.gtathugchicago300,True,United States,dp_clause,False,True,True,True,True
com.canmik.app,True,United States,dp_clause,False,False,True,True,False
panda.ropehero.crime.sim,True,United States,dp_clause,False,True,True,True,True
us.marines.army.gta.armygranny.city.crime,True,United States,dp_clause,False,True,True,True,True
com.froghulck.superhero,True,United States,dp_clause,False,True,True,True,True
com.santa.gta.realcrime.grandcrimegangster,True,United States,dp_clause,False,True,True,True,True
panther.spiderman.rope.hero.stickman.rope.heros,True,United States,dp_clause,False,True,True,True,True
com.creative.Learn.to.draw.comics,True,United States,dp_clause,False,True,True,True,True
com.cervomedia.spw,True,United States,dp_clause,False,False,True,False,False
com.playwpt.mobile.poker,True,United States,dp_clause,True,True,True,False,True
com.creative.Learn.to.draw.princess,True,United States,dp_clause,False,True,True,True,True
com.WildLoots.RainBowSlots,True,United States,dp_clause,True,True,True,False,True
com.luckios.buffaloslots,True,United States,dp_clause,False,True,True,True,True
com.colorjoy.learn.to.draw.glow.comics,True,United States,dp_clause,False,True,True,True,True
com.zealgames.cashmania,True,United States,dp_clause,False,False,True,True,False
com.robot.super.car.fastgame,True,United States,dp_clause,False,True,True,True,True
spiderfrog.rope.hero.stickman.rope.heros,True,United States,dp_clause,False,True,True,True,True
robot.mamounth.crime.sim,True,United States,dp_clause,False,True,True,True,True
com.vegasslotspocket.heartofdiamond,True,United States,dp_clause,False,False,True,True,False
com.wildloots.AgeOfSailSlots,True,United States,dp_clause,True,True,True,False,True
us.heroman.mafia.crime.rope.heros.superhero,True,United States,dp_clause,False,True,True,True,True
com.winnersclub.empire88slots,True,United States,dp_clause,False,True,True,False,False
slots.casino.classic.vegas.quick.cash,True,United States,approved_certification,False,True,False,False,False
com.williamsinteractive.hotshotcasino,True,United States,dp_clause,True,True,True,True,True
com.fggames.bingo,True,United States,dp_clause,False,True,True,False,False
robot.shark.crimesimulator,True,United States,dp_clause,False,True,True,True,True
com.huge.slots.casino.vegas.android.avidly,True,United States,dp_clause,False,True,True,False,False
com.ballytechnologies.f88,True,United States,dp_clause,True,True,True,True,True
learn.to.draw.glow.cartoon,True,United States,dp_clause,False,True,True,True,True
com.scientificgames.monopolyslots,True,United States,dp_clause,True,True,True,True,True
com.huuuge.stars.slots,True,United States,dp_clause,False,True,True,True,True
spider.stickmansuperhero.spiderman.rope.hero.pubg.mafia,True,United States,dp_clause,False,True,True,True,True
robot.car.golden.gangaster.crime.city.game,True,United States,dp_clause,False,True,True,True,True
com.williamsinteractive.goldfish,True,United States,dp_clause,True,True,True,True,True
com.ballytechnologies.quickhitslots,True,United States,dp_clause,True,True,True,True,True
com.huuuge.casino.texas,True,United States,dp_clause,False,True,True,True,True
flash.stickman.ropehero.vegas.crime.city,True,United States,dp_clause,False,True,True,True,True
slots.free.vegas.casino.cash.mania,True,United States,approved_certification,False,True,False,False,False
com.vizmanga.android,True,United States,binding_corporate_rules,False,True,True,True,True
com.vizmanga.android,True,United States,dp_clause,False,True,True,True,True
com.topultragame.slotlasvega,True,United States,dp_clause,False,False,True,True,False
com.facebook.lite,True,China,dp_clause,True,False,True,False,False
com.framy.placey,True,China,dp_clause,False,False,True,False,False
com.viz.wsj.android,True,United States,binding_corporate_rules,False,True,True,True,True
com.viz.wsj.android,True,United States,dp_clause,False,True,True,True,True
com.g5e.solitairepg.android,True,United States,dp_clause,False,True,True,False,False
de.spielepalast.canastapalace,True,United States,dp_clause,False,True,True,True,True
com.freshbooks.andromeda,True,United States,dp_clause,True,True,True,False,True
com.eryodsoft.android.cards.gin.lite,True,United States,dp_clause,False,True,True,False,False
com.LoopGames.Freecell,True,United States,dp_clause,False,True,True,False,False
golf.gm.retro,True,United States,dp_clause,False,True,True,False,False
com.hotheadgames.google.free.bigwinbaseball,True,United States,dp_clause,False,True,True,False,False
com.mistplay.mistplay,True,United States,dp_clause,False,True,True,False,False
com.newstargames.newstarsoccer,True,United States,dp_clause,False,True,True,True,True
com.reludo.boxingchallenge,True,United States,dp_clause,False,True,True,False,False
com.doubletapsoftware.pvp,True,United States,dp_clause,False,True,True,False,False
com.creative.Learn.to.draw.animal,True,United States,dp_clause,False,True,True,True,True
com.hotheadgames.google.bbfootball,True,United States,dp_clause,False,True,True,False,False
